Date,Open Price,Close Price,High Price,Low Price,Volume,daydiffirence,dayopenchange,openchange,volumechangepercent
8-Dec-09,1103.04,1091.94,1103.04,1088.61,4748029952,14.43,-2.48,-0.21,0.135776303
9-Dec-09,1091.07,1095.95,1097.04,1085.89,4115409920,11.15,-11.97,-0.87,-0.15371981
10-Dec-09,1098.69,1102.35,1106.25,1098.69,3996489984,7.56,7.62,2.74,-0.029756095
11-Dec-09,1103.96,1106.41,1108.5,1101.34,3791089920,7.16,5.27,1.61,-0.054179687
14-Dec-09,1107.84,1114.11,1114.76,1107.84,4548490240,6.92,3.88,1.43,0.166516862
15-Dec-09,1114.11,1107.93,1114.11,1105.35,5045100032,8.76,6.27,0,0.098434082
16-Dec-09,1108.61,1109.18,1116.21,1107.96,4829819904,8.25,-5.5,0.68,-0.044573117
17-Dec-09,1106.36,1096.08,1106.36,1095.88,7615070208,10.48,-2.25,-2.82,0.365755039
18-Dec-09,1097.86,1102.47,1103.74,1093.88,6325890048,9.86,-8.5,1.78,-0.203794272
21-Dec-09,1105.31,1114.05,1117.68,1105.31,3977339904,12.37,7.45,2.84,-0.590482634
22-Dec-09,1114.51,1118.02,1120.27,1114.51,3641129984,5.76,9.2,0.46,-0.092336698
23-Dec-09,1118.84,1120.59,1121.58,1116,3166870016,5.58,4.33,0.82,-0.149756689
24-Dec-09,1121.08,1126.48,1126.48,1121.08,1267709952,5.4,2.24,0.49,-1.498102986
28-Dec-09,1127.53,1127.78,1130.38,1123.51,2716400128,6.87,6.45,1.05,0.533312512
29-Dec-09,1128.55,1126.2,1130.38,1126.08,2491020032,4.3,1.02,0.77,-0.090477031
30-Dec-09,1125.53,1126.42,1126.42,1121.94,2277299968,4.48,-3.02,-0.67,-0.093848007
31-Dec-09,1126.6,1115.1,1127.64,1114.81,2076989952,12.83,1.07,0.18,-0.096442458
4-Jan-10,1116.56,1132.99,1133.87,1116.56,3991399936,17.31,-10.04,1.46,0.479633716
5-Jan-10,1132.66,1136.52,1136.63,1129.66,2491020032,6.97,16.1,-0.33,-0.602315471
6-Jan-10,1135.71,1137.14,1139.19,1133.95,4972660224,5.24,3.05,-0.81,0.499056859
7-Jan-10,1136.27,1141.69,1142.46,1131.32,5270680064,11.14,0.56,-0.87,0.056542958
8-Jan-10,1140.52,1144.98,1145.39,1136.22,4389590016,9.17,4.25,-1.17,-0.200722629
11-Jan-10,1145.96,1146.98,1149.74,1142.02,4255780096,7.72,5.44,0.98,-0.031441925
12-Jan-10,1143.81,1136.22,1143.81,1131.77,4716160000,12.04,-2.15,-3.17,0.097617533
13-Jan-10,1137.31,1145.68,1148.4,1133.18,4170360064,15.22,-6.5,1.09,-0.130875974
14-Jan-10,1145.68,1148.46,1150.41,1143.8,3915200000,6.61,8.37,0,-0.065171655
15-Jan-10,1147.72,1136.03,1147.77,1131.39,4758730240,16.38,2.04,-0.74,0.17725952
19-Jan-10,1136.03,1150.23,1150.45,1135.77,4724830208,14.68,-11.69,0,-0.007174868
20-Jan-10,1147.95,1138.04,1147.95,1129.25,4810560000,18.7,11.92,-2.28,0.017821167
21-Jan-10,1138.68,1116.48,1141.58,1114.84,6874289664,26.74,-9.27,0.64,0.300209878
22-Jan-10,1115.49,1091.76,1115.49,1090.18,6208650240,25.31,-23.19,-0.99,-0.107211616
25-Jan-10,1092.4,1096.78,1102.97,1092.4,4481390080,10.57,-23.09,0.64,-0.38542955
26-Jan-10,1095.8,1092.17,1103.69,1089.86,4731910144,13.83,3.4,-0.98,0.052942693
27-Jan-10,1091.94,1097.5,1099.51,1083.11,5319119872,16.4,-3.86,-0.23,0.110396032
28-Jan-10,1096.93,1084.53,1100.22,1078.46,5452400128,21.76,4.99,-0.57,0.024444328
29-Jan-10,1087.61,1073.87,1096.45,1071.59,5412850176,24.86,-9.32,3.08,-0.007306678
1-Feb-10,1073.89,1089.19,1089.38,1073.89,4077609984,15.49,-13.72,0.02,-0.327456573
2-Feb-10,1090.05,1103.32,1104.73,1087.96,4749539840,16.77,16.16,0.86,0.141472622
3-Feb-10,1100.67,1097.28,1102.72,1093.97,4285449984,8.75,10.62,-2.65,-0.108294312
4-Feb-10,1097.25,1063.11,1097.25,1062.78,5859689984,34.47,-3.42,-0.03,0.268655851
